pickup_address,delivery_address,order_value,payment_method,weather_condition,phone_number,failed
"Central Warehouse, Kathmandu","Ward 7, Main Road, Biratnagar",4591.56,online,foggy,9861698280,0
"Central Warehouse, Kathmandu","Lakeside, Pokhara",1370.98,COD,clear,9837925692,1
"Central Warehouse, Kathmandu","Ward 2, Jawalakhel, Lalitpur",3022.93,COD,rainy,9817427699,1
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",2143.63,prepaid,clear,9895466855,0
"Central Warehouse, Kathmandu","Lakeside, Pokhara",1434.28,online,foggy,9846907426,1
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",4290.32,COD,clear,9888657142,0
"Central Warehouse, Kathmandu","Ward 7, Patan Durbar Square, Lalitpur",3031.84,prepaid,rainy,9833419132,1
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",141.36,COD,foggy,9814784270,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",1793.11,COD,clear,9871973133,1
"Central Warehouse, Kathmandu","Main Road, Biratnagar",2772.77,COD,clear,9895088427,1
"Central Warehouse, Kathmandu","Main Road, Biratnagar",1140.98,online,rainy,9859182232,0
"Central Warehouse, Kathmandu","Ward 3, Thamel, Kathmandu",3005.46,online,clear,9815798469,0
"Central Warehouse, Kathmandu","Ward 11, Jawalakhel, Lalitpur",1877.59,cod,normal,9834036194,0
"Central Warehouse, Kathmandu","Ward 20, Thamel, Kathmandu",1773.26,prepaid,rainy,9859294762,0
"Central Warehouse, Kathmandu","Thamel, Kathmandu",2451.13,cod,foggy,9851869999,0
"Central Warehouse, Kathmandu","Ward 27, Thamel, Kathmandu",4945.22,cod,rainy,9840554099,1
"Central Warehouse, Kathmandu","Ward 2, Patan Durbar Square, Lalitpur",1518.7,prepaid,foggy,9824383292,0
"Central Warehouse, Kathmandu","Ward 30, Thamel, Kathmandu",805.13,COD,foggy,9877629091,0
"Central Warehouse, Kathmandu","Ward 22, Patan Durbar Square, Lalitpur",4150.31,online,normal,9870295011,0
"Central Warehouse, Kathmandu","Ward 9, Thamel, Kathmandu",2252.72,prepaid,normal,9851187276,0
"Central Warehouse, Kathmandu","Ward 28, Jawalakhel, Lalitpur",2605.16,online,foggy,9871898161,1
"Central Warehouse, Kathmandu","Ward 24, Main Road, Biratnagar",4970.23,cod,rainy,9892180330,1
"Central Warehouse, Kathmandu","Ward 21, Baneshwor, Kathmandu",4121.23,online,normal,9864422437,0
"Central Warehouse, Kathmandu","Ward 6, Baneshwor, Kathmandu",1689.67,COD,clear,9893353571,1
"Central Warehouse, Kathmandu","Ward 13, Baneshwor, Kathmandu",3543.34,COD,foggy,9832309121,0
"Central Warehouse, Kathmandu","Ward 11, Baneshwor, Kathmandu",2766.64,cod,clear,9816178627,1
"Central Warehouse, Kathmandu","Ward 5, Main Road, Biratnagar",1361.39,COD,clear,9873801196,0
"Central Warehouse, Kathmandu","Ward 10, Durbar Square, Bhaktapur",3537.19,online,extreme,9821287170,1
"Central Warehouse, Kathmandu","Ward 2, Patan Durbar Square, Lalitpur",3958.31,online,normal,9872909175,0
"Central Warehouse, Kathmandu","Ward 3, Baneshwor, Kathmandu",1747.82,cod,extreme,9868272942,1
"Central Warehouse, Kathmandu","Ward 6, Patan Durbar Square, Lalitpur",2334.09,online,foggy,9896242547,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",2153.33,cod,clear,9874676423,1
"Central Warehouse, Kathmandu","Ward 17, Lakeside, Pokhara",3764.45,prepaid,normal,9819974559,1
"Central Warehouse, Kathmandu","Ward 13, Lakeside, Pokhara",501.68,online,foggy,9848799267,1
"Central Warehouse, Kathmandu","Ward 6, Patan Durbar Square, Lalitpur",610.04,COD,foggy,9855374216,1
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",2374.5,online,clear,9815220700,0
"Central Warehouse, Kathmandu","Ward 2, Main Road, Biratnagar",939.51,cod,extreme,9855530096,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",971.12,prepaid,foggy,9818724944,0
"Central Warehouse, Kathmandu","Ward 20, Durbar Square, Bhaktapur",3885.86,cod,normal,9881054440,0
"Central Warehouse, Kathmandu","Ward 1, Thamel, Kathmandu",3770.49,online,clear,9845979997,0
"Central Warehouse, Kathmandu","Ward 30, Patan Durbar Square, Lalitpur",4806.11,COD,foggy,9870271486,1
"Central Warehouse, Kathmandu","Ward 27, Baneshwor, Kathmandu",2292.53,prepaid,foggy,9875578864,1
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",1810.83,COD,extreme,9880451179,1
"Central Warehouse, Kathmandu","Main Road, Biratnagar",2885.84,prepaid,normal,9854120681,0
"Central Warehouse, Kathmandu","Ward 26, Patan Durbar Square, Lalitpur",2979.79,prepaid,normal,9826040607,0
"Central Warehouse, Kathmandu","Ward 19, Main Road, Biratnagar",2379.77,cod,foggy,9882766564,1
"Central Warehouse, Kathmandu","Ward 16, Thamel, Kathmandu",3318.33,COD,normal,9842748659,1
"Central Warehouse, Kathmandu","Ward 4, Durbar Square, Bhaktapur",3412.53,prepaid,extreme,9875126854,1
"Central Warehouse, Kathmandu","Ward 13, Jawalakhel, Lalitpur",4249.45,cod,foggy,9812262066,1
"Central Warehouse, Kathmandu","Ward 5, Lakeside, Pokhara",242.81,cod,rainy,9813401117,0
"Central Warehouse, Kathmandu","Ward 13, Patan Durbar Square, Lalitpur",1595.36,online,clear,9887618230,0
"Central Warehouse, Kathmandu","Ward 7, Thamel, Kathmandu",4558.93,prepaid,normal,9883049325,1
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",4797.06,cod,clear,9834731081,1
"Central Warehouse, Kathmandu","Lakeside, Pokhara",2538.36,COD,rainy,9895595645,1
"Central Warehouse, Kathmandu","Ward 26, Durbar Square, Bhaktapur",3833.57,cod,normal,9828776496,0
"Central Warehouse, Kathmandu","Ward 10, Thamel, Kathmandu",2444.88,prepaid,rainy,9896645432,1
"Central Warehouse, Kathmandu","Ward 7, Patan Durbar Square, Lalitpur",4692.78,COD,normal,9819643647,0
"Central Warehouse, Kathmandu","Ward 27, Thamel, Kathmandu",4781.92,COD,normal,9837809733,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",799.74,cod,rainy,9814437088,1
"Central Warehouse, Kathmandu","Ward 2, Lakeside, Pokhara",4924.92,cod,normal,9883803366,1
"Central Warehouse, Kathmandu","Ward 14, Lakeside, Pokhara",1710.82,COD,foggy,9875273722,1
"Central Warehouse, Kathmandu","Ward 29, Main Road, Biratnagar",2262.4,prepaid,foggy,9835065076,1
"Central Warehouse, Kathmandu","Ward 5, Patan Durbar Square, Lalitpur",4870.28,prepaid,rainy,9887962616,0
"Central Warehouse, Kathmandu","Ward 31, Lakeside, Pokhara",2394.88,online,clear,9857071908,0
"Central Warehouse, Kathmandu","Ward 21, Lakeside, Pokhara",3709.03,prepaid,normal,9894057662,1
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",4671.98,online,clear,9858875229,0
"Central Warehouse, Kathmandu","Thamel, Kathmandu",1859.85,COD,foggy,9873977977,1
"Central Warehouse, Kathmandu","Ward 14, Thamel, Kathmandu",2404.01,online,clear,9842232800,0
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",1189.61,online,foggy,9899303843,0
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",1407.19,prepaid,extreme,9845275707,0
"Central Warehouse, Kathmandu","Thamel, Kathmandu",676.91,online,normal,9839247519,1
"Central Warehouse, Kathmandu","Ward 25, Patan Durbar Square, Lalitpur",1263.18,cod,rainy,9898939855,1
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",3718.25,cod,rainy,9874552710,1
"Central Warehouse, Kathmandu","Ward 8, Jawalakhel, Lalitpur",4294.77,online,rainy,9827232530,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",4632.88,cod,clear,9882526128,1
"Central Warehouse, Kathmandu","Ward 11, Main Road, Biratnagar",4173.79,prepaid,extreme,9866066133,0
"Central Warehouse, Kathmandu","Lakeside, Pokhara",2115.25,cod,rainy,9878694159,1
"Central Warehouse, Kathmandu","Ward 2, Patan Durbar Square, Lalitpur",1527.04,COD,normal,9854652320,1
"Central Warehouse, Kathmandu","Ward 9, Jawalakhel, Lalitpur",858.39,prepaid,foggy,9831687358,1
"Central Warehouse, Kathmandu","Ward 16, Jawalakhel, Lalitpur",4266.88,online,clear,9896040597,0
"Central Warehouse, Kathmandu","Ward 25, Patan Durbar Square, Lalitpur",3696.31,cod,clear,9876964547,0
"Central Warehouse, Kathmandu","Ward 17, Durbar Square, Bhaktapur",2493.46,online,clear,9883454399,0
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",1051.59,prepaid,foggy,9825490710,1
"Central Warehouse, Kathmandu","Ward 23, Thamel, Kathmandu",4461.46,cod,rainy,9877697677,1
"Central Warehouse, Kathmandu","Ward 26, Main Road, Biratnagar",2699.37,cod,foggy,9894816543,1
"Central Warehouse, Kathmandu","Ward 3, Lakeside, Pokhara",2782.56,prepaid,rainy,9894501487,0
"Central Warehouse, Kathmandu","Ward 25, Durbar Square, Bhaktapur",3123.54,online,rainy,9838578822,1
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",2714.53,prepaid,extreme,9812294862,1
"Central Warehouse, Kathmandu","Ward 9, Durbar Square, Bhaktapur",4242.01,cod,clear,9879814002,1
"Central Warehouse, Kathmandu","Ward 15, Thamel, Kathmandu",1646.69,prepaid,extreme,9866208976,0
"Central Warehouse, Kathmandu","Ward 17, Jawalakhel, Lalitpur",3774.49,online,normal,9820961096,1
"Central Warehouse, Kathmandu","Ward 16, Baneshwor, Kathmandu",3898.35,prepaid,clear,9863912500,0
"Central Warehouse, Kathmandu","Ward 11, Jawalakhel, Lalitpur",227.7,online,extreme,9812098247,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",264.1,prepaid,rainy,9894717115,0
"Central Warehouse, Kathmandu","Ward 13, Lakeside, Pokhara",2567.8,prepaid,foggy,9822343742,0
"Central Warehouse, Kathmandu","Ward 10, Patan Durbar Square, Lalitpur",4356.8,COD,clear,9881111235,0
"Central Warehouse, Kathmandu","Ward 20, Lakeside, Pokhara",1657.43,online,rainy,9836450261,0
"Central Warehouse, Kathmandu","Ward 11, Thamel, Kathmandu",2490.53,cod,extreme,9831725202,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",3311.1,prepaid,clear,9880260993,0
"Central Warehouse, Kathmandu","Ward 28, Durbar Square, Bhaktapur",2946.12,COD,foggy,9871567421,0
"Central Warehouse, Kathmandu","Ward 27, Lakeside, Pokhara",558.17,COD,rainy,9880626460,0
"Central Warehouse, Kathmandu","Ward 3, Jawalakhel, Lalitpur",4103.65,COD,normal,9884858821,0
"Central Warehouse, Kathmandu","Ward 14, Baneshwor, Kathmandu",453.13,cod,foggy,9870610174,1
"Central Warehouse, Kathmandu","Ward 22, Durbar Square, Bhaktapur",353.73,COD,rainy,9817962998,0
"Central Warehouse, Kathmandu","Ward 30, Patan Durbar Square, Lalitpur",364.12,online,foggy,9816385059,0
"Central Warehouse, Kathmandu","Ward 7, Jawalakhel, Lalitpur",1660.16,cod,extreme,9816757132,0
"Central Warehouse, Kathmandu","Ward 6, Main Road, Biratnagar",733.4,COD,normal,9857981901,0
"Central Warehouse, Kathmandu","Ward 5, Thamel, Kathmandu",4406.87,prepaid,foggy,9898859456,1
"Central Warehouse, Kathmandu","Ward 20, Jawalakhel, Lalitpur",937.83,COD,clear,9881538140,0
"Central Warehouse, Kathmandu","Main Road, Biratnagar",3419.55,cod,clear,9827849045,1
"Central Warehouse, Kathmandu","Ward 32, Main Road, Biratnagar",4190.05,online,normal,9888056695,0
"Central Warehouse, Kathmandu","Main Road, Biratnagar",1533.23,cod,foggy,9831113190,0
"Central Warehouse, Kathmandu","Thamel, Kathmandu",2451.39,prepaid,normal,9838705685,0
"Central Warehouse, Kathmandu","Ward 27, Baneshwor, Kathmandu",4084.37,prepaid,extreme,9817832851,1
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",3929.64,COD,rainy,9863131900,0
"Central Warehouse, Kathmandu","Ward 16, Patan Durbar Square, Lalitpur",1433.47,online,normal,9848220496,0
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",3774.95,COD,normal,9825374372,0
"Central Warehouse, Kathmandu","Main Road, Biratnagar",3387.16,COD,rainy,9813825274,1
"Central Warehouse, Kathmandu","Ward 22, Main Road, Biratnagar",3829.67,online,rainy,9840093697,0
"Central Warehouse, Kathmandu","Ward 15, Lakeside, Pokhara",1775.17,COD,normal,9888089876,1
"Central Warehouse, Kathmandu","Ward 30, Lakeside, Pokhara",3503.53,COD,extreme,9811316889,1
"Central Warehouse, Kathmandu","Ward 16, Patan Durbar Square, Lalitpur",4471.55,COD,extreme,9855495260,1
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",3096.44,online,normal,9840337808,0
"Central Warehouse, Kathmandu","Ward 11, Durbar Square, Bhaktapur",3838.85,COD,clear,9889121886,1
"Central Warehouse, Kathmandu","Ward 10, Baneshwor, Kathmandu",934.59,prepaid,foggy,9842571892,0
"Central Warehouse, Kathmandu","Ward 28, Thamel, Kathmandu",2308.4,cod,rainy,9899067961,1
"Central Warehouse, Kathmandu","Ward 25, Main Road, Biratnagar",807.62,cod,extreme,9897345113,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",1768.9,online,extreme,9873329257,1
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",3808.88,online,clear,9836182108,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",1345.1,prepaid,foggy,9857969152,0
"Central Warehouse, Kathmandu","Ward 29, Jawalakhel, Lalitpur",3752.17,COD,foggy,9878801658,1
"Central Warehouse, Kathmandu","Ward 19, Thamel, Kathmandu",414.81,cod,normal,9843180215,1
"Central Warehouse, Kathmandu","Ward 8, Lakeside, Pokhara",4509.37,cod,foggy,9872784087,1
"Central Warehouse, Kathmandu","Ward 9, Jawalakhel, Lalitpur",2295.32,cod,extreme,9847474732,0
"Central Warehouse, Kathmandu","Ward 6, Patan Durbar Square, Lalitpur",1768.61,COD,normal,9872166403,1
"Central Warehouse, Kathmandu","Ward 28, Baneshwor, Kathmandu",1008.64,cod,foggy,9888360642,1
"Central Warehouse, Kathmandu","Ward 7, Patan Durbar Square, Lalitpur",1901.27,cod,extreme,9882713375,0
"Central Warehouse, Kathmandu","Ward 8, Thamel, Kathmandu",3156.34,cod,clear,9886307938,1
"Central Warehouse, Kathmandu","Ward 11, Durbar Square, Bhaktapur",355.07,prepaid,rainy,9890054553,0
"Central Warehouse, Kathmandu","Ward 12, Jawalakhel, Lalitpur",3593.35,online,foggy,9862056698,0
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",682.54,prepaid,extreme,9821149452,0
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",1956.68,prepaid,normal,9892970821,0
"Central Warehouse, Kathmandu","Ward 2, Baneshwor, Kathmandu",1507.52,prepaid,rainy,9849076735,1
"Central Warehouse, Kathmandu","Ward 18, Thamel, Kathmandu",575.12,COD,extreme,9871848142,1
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",2966.82,prepaid,extreme,9836975312,1
"Central Warehouse, Kathmandu","Jawalakhel, Lalitpur",1000.33,COD,clear,9869525650,0
"Central Warehouse, Kathmandu","Baneshwor, Kathmandu",4503.08,cod,rainy,9892912365,0
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",1288.94,online,rainy,9839731349,0
"Central Warehouse, Kathmandu","Main Road, Biratnagar",4965.3,online,clear,9839450898,1
"Central Warehouse, Kathmandu","Ward 3, Main Road, Biratnagar",4881.53,cod,normal,9845320475,1
"Central Warehouse, Kathmandu","Ward 11, Lakeside, Pokhara",3294.48,cod,rainy,9853937844,1
"Central Warehouse, Kathmandu","Lakeside, Pokhara",3159.49,prepaid,rainy,9846807413,0
"Central Warehouse, Kathmandu","Patan Durbar Square, Lalitpur",1827.35,COD,clear,9825147950,0
"Central Warehouse, Kathmandu","Ward 28, Patan Durbar Square, Lalitpur",909.91,COD,rainy,9864365964,0
"Central Warehouse, Kathmandu","Ward 23, Patan Durbar Square, Lalitpur",762.32,prepaid,clear,9863129807,0
"Central Warehouse, Kathmandu","Ward 32, Baneshwor, Kathmandu",4056.24,online,normal,9817341902,0
"Central Warehouse, Kathmandu","Durbar Square, Bhaktapur",189.84,prepaid,rainy,9822940807,0
"Central Warehouse, Kathmandu","Ward 26, Thamel, Kathmandu",614.05,prepaid,foggy,9871139229,0
"Central Warehouse, Kathmandu","Ward 29, Durbar Square, Bhaktapur",3596.74,cod,clear,9857151971,0
"Central Warehouse, Kathmandu","Ward 29, Main Road, Biratnagar",4502.96,COD,rainy,9879092290,0
"Central Warehouse, Kathmandu","Main Road, Biratnagar",4505.95,online,clear,9835156606,1
"Central Warehouse, Kathmandu","Ward 16, Main Road, Biratnagar",4799.65,online,clear,9819127775,0
"Central Warehouse, Kathmandu","Ward 7, Lakeside, Pokhara",4967.92,prepaid,foggy,9892371846,1
"Central Warehouse, Kathmandu","Ward 6, Jawalakhel, Lalitpur",1977.67,COD,normal,9841545879,0
"Central Warehouse, Kathmandu","Ward 4, Baneshwor, Kathmandu",4760.31,cod,foggy,9824371396,1
"Central Warehouse, Kathmandu","Ward 21, Jawalakhel, Lalitpur",4493.71,cod,extreme,9850239690,1
